Date,Open,High,Low,Close,Adj Close,Volume
2006-10-02,10.728572,10.838572,10.614285,10.694285,9.586717,178159800
2006-10-03,10.635715,10.707143,10.455714,10.582857,9.486828,197677200
2006-10-04,10.585714,10.78,10.451428,10.768572,9.653308,207270700
2006-10-05,10.647142,10.88,10.59,10.69,9.582876,170970800
2006-10-06,10.631429,10.72,10.544286,10.602858,9.504756,116739700
2006-10-09,10.542857,10.725715,10.504286,10.661428,9.557261,109555600
2006-10-10,10.648571,10.654285,10.44,10.544286,9.452249,132897100
2006-10-11,10.488571,10.568571,10.371428,10.461429,9.377975,142963800
2006-10-12,10.515715,10.77,10.514286,10.751429,9.637942,148213800
2006-10-13,10.804286,10.982857,10.677143,10.717143,9.607205,171049200
2006-10-16,10.741428,10.84,10.684286,10.771428,9.655869,127173200
2006-10-17,10.72,10.752857,10.577143,10.612857,9.51372,120231300
2006-10-18,10.678572,10.767143,10.558572,10.647142,9.544454,283476900
2006-10-19,11.322857,11.421429,11.165714,11.284286,10.115615,378244300
2006-10-20,11.281428,11.427143,11.238571,11.421429,10.238549,159853400
2006-10-23,11.427143,11.7,11.392858,11.637143,10.431924,208126800
2006-10-24,11.601429,11.668571,11.457143,11.578571,10.379418,115803100
2006-10-25,11.621428,11.714286,11.572857,11.668571,10.460097,121303700
2006-10-26,11.7,11.8,11.59,11.741428,10.52541,108189200
2006-10-27,11.678572,11.778571,11.43,11.487143,10.297459,148741600
2006-10-30,11.427143,11.557143,11.357142,11.488571,10.298738,124979400
2006-10-31,11.635715,11.668571,11.461429,11.582857,10.383262,125368600
2006-11-01,11.585714,11.625714,11.194285,11.308572,10.137384,152798100
2006-11-02,11.274285,11.331429,11.214286,11.282857,10.11433,116370800
2006-11-03,11.337143,11.361428,11.112857,11.184286,10.02597,107972200
2006-11-06,11.278571,11.437143,11.204286,11.387143,10.207817,108644200
2006-11-07,11.492857,11.571428,11.447143,11.501429,10.310265,131483100
2006-11-08,11.431429,11.812857,11.412857,11.778571,10.558704,172729200
2006-11-09,11.842857,12.098572,11.731428,11.905714,10.67268,230763400
2006-11-10,11.935715,11.942857,11.785714,11.874286,10.644506,93466100
2006-11-13,11.888572,12.064285,11.805715,12.05,10.802022,112668500
2006-11-14,12.114285,12.142858,11.985714,12.142858,10.885262,147238700
2006-11-15,12.15,12.271428,12.0,12.007143,10.763603,163830800
2006-11-16,12.124286,12.328571,12.088572,12.23,10.963384,173485200
2006-11-17,12.162857,12.277143,12.142858,12.264286,10.994117,116606000
2006-11-20,12.2,12.428572,12.171429,12.352858,11.073514,142698500
2006-11-21,12.488571,12.657143,12.444285,12.657143,11.346288,155666700
2006-11-22,12.712857,12.964286,12.55,12.901428,11.565272,167985300
2006-11-24,12.79,13.297143,12.785714,13.09,11.734314,129669400
2006-11-27,13.215714,13.308572,12.785714,12.791429,11.466663,268709000
2006-11-28,12.908571,13.138572,12.844286,13.115714,11.757366,259043400
2006-11-29,13.285714,13.307143,12.892858,13.114285,11.756085,289270800
2006-11-30,13.172857,13.24,13.008572,13.094286,11.738157,217621600
2006-12-01,13.114285,13.19,12.871428,13.045714,11.694616,198769900
2006-12-04,13.125714,13.15,12.928572,13.017143,11.669004,177384200
2006-12-05,13.092857,13.19,12.981428,13.038571,11.688211,165709600
2006-12-06,12.948571,13.055715,12.81,12.832857,11.503802,159546100
2006-12-07,12.861428,12.928572,12.414286,12.434286,11.146508,251206900
2006-12-08,12.461429,12.77,12.428572,12.608571,11.302747,196069300
2006-12-11,12.7,12.757143,12.578571,12.678572,11.365495,124945100
2006-12-12,12.658571,12.691428,12.218572,12.305715,11.031257,256655000
2006-12-13,12.564285,12.724286,12.45,12.721429,11.403915,214263000
2006-12-14,12.721429,12.857142,12.608571,12.65,11.339885,208082700
2006-12-15,12.717143,12.745714,12.475715,12.531428,11.233591,184984800
2006-12-18,12.518572,12.571428,12.084286,12.21,10.945451,180394200
2006-12-19,12.104285,12.382857,11.945714,12.33,11.053025,227851400
2006-12-20,12.352858,12.381429,12.105714,12.108571,10.854528,141922900
2006-12-21,12.1,12.211429,11.742857,11.842857,10.616336,225899800
2006-12-22,11.922857,12.005714,11.657143,11.742857,10.52669,153325900
2006-12-26,11.735714,11.795714,11.555715,11.644286,10.438329,122672200
2006-12-27,11.164286,11.714286,10.967143,11.645715,10.43961,483938700
2006-12-28,11.46,11.607142,11.378572,11.552857,10.356368,279969200
2006-12-29,11.992857,12.2,11.908571,12.12,10.864773,269107300
2007-01-03,12.327143,12.368571,11.7,11.971429,10.731588,309579900
2007-01-04,12.007143,12.278571,11.974286,12.237143,10.969785,211815100
2007-01-05,12.252857,12.314285,12.057143,12.15,10.891665,208685400
2007-01-08,12.28,12.361428,12.182858,12.21,10.945451,199276700
2007-01-09,12.35,13.282857,12.164286,13.224286,11.854692,837324600
2007-01-10,13.535714,13.971429,13.35,13.857142,12.422006,738220000
2007-01-11,13.705714,13.825714,13.585714,13.685715,12.268334,360063200
2007-01-12,13.512857,13.58,13.318571,13.517143,12.11722,328172600
2007-01-16,13.668571,13.892858,13.635715,13.871428,12.434812,311019100
2007-01-17,13.937143,13.942857,13.545714,13.564285,12.15948,411565000
2007-01-18,13.157143,13.158571,12.721429,12.724286,11.406476,591151400
2007-01-19,12.661428,12.807143,12.588572,12.642858,11.333481,341118400
2007-01-22,12.734285,12.737143,12.235714,12.398571,11.114495,363506500
2007-01-23,12.247143,12.501429,12.215714,12.242857,10.974908,301856100
2007-01-24,12.382857,12.45,12.297143,12.385715,11.102969,231953400
2007-01-25,12.444285,12.642858,12.29,12.321428,11.045341,226493400
2007-01-26,12.444285,12.481428,12.141429,12.197143,10.933926,246718500
2007-01-29,12.328571,12.378572,12.218572,12.277143,11.005641,225416100
2007-01-30,12.347143,12.355714,12.178572,12.221429,10.955698,144492600
2007-01-31,12.122857,12.285714,12.05,12.247143,10.978748,214017300
2007-02-01,12.318571,12.324286,12.105714,12.105714,10.851967,166085500
2007-02-02,12.017143,12.178572,11.957143,12.107142,10.853251,155382500
2007-02-05,12.042857,12.175714,11.991428,11.991428,10.749517,144713100
2007-02-06,12.064285,12.067142,11.837143,12.021428,10.776408,216098400
2007-02-07,12.068571,12.34,11.935715,12.307143,11.032534,266706300
2007-02-08,12.204286,12.358571,12.201428,12.311429,11.036374,169757700
2007-02-09,12.268572,12.314285,11.887143,11.895715,10.663718,215135200
2007-02-12,12.061429,12.168571,11.947143,12.125714,10.869898,181017900
2007-02-13,12.165714,12.184286,12.042857,12.1,10.846849,145246500
2007-02-14,12.09,12.234285,12.081429,12.185715,10.923683,126995400
2007-02-15,12.205714,12.231428,12.111428,12.172857,10.912156,90915300
2007-02-16,12.178572,12.201428,12.094286,12.118571,10.863493,99967000
2007-02-20,12.092857,12.308572,12.022857,12.271428,11.00052,154425600
2007-02-21,12.282857,12.784286,12.28,12.742857,11.423125,288828400
2007-02-22,12.971429,12.972857,12.647142,12.787143,11.462824,209556200
2007-02-23,12.737143,12.905714,12.692857,12.724286,11.406476,129473400
2007-02-26,12.834286,12.857142,12.515715,12.644286,11.334761,153962200
2007-02-27,12.328571,12.44,11.915714,11.99,10.748238,286453300
2007-02-28,11.857142,12.228572,11.857142,12.087143,10.835322,229868800
2007-03-01,12.004286,12.615714,11.964286,12.437143,11.149072,353882200
2007-03-02,12.395715,12.505714,12.172857,12.201428,10.937767,215000100
2007-03-05,12.27,12.664286,12.251429,12.331429,11.054307,209724900
2007-03-06,12.542857,12.615714,12.485714,12.598572,11.293781,180796700
2007-03-07,12.578571,12.71,12.492857,12.531428,11.233591,156571100
2007-03-08,12.655714,12.674286,12.494286,12.571428,11.26945,127752800
2007-03-09,12.685715,12.692857,12.485714,12.567142,11.265606,112959000
2007-03-12,12.581429,12.855714,12.57,12.838572,11.508924,182352100
2007-03-13,12.772857,12.942857,12.628572,12.628572,11.320674,216972700
2007-03-14,12.657143,12.857142,12.56,12.857142,11.525572,199146500
2007-03-15,12.851429,12.908571,12.758572,12.795714,11.470506,139874700
2007-03-16,12.791429,12.855714,12.76,12.798572,11.473066,142926000
2007-03-19,12.891429,13.078571,12.798572,13.018572,11.670282,178240300
2007-03-20,13.05,13.12,13.008572,13.068571,11.715105,122229100
2007-03-21,13.141429,13.428572,13.092857,13.41,12.021172,171724000
2007-03-22,13.39,13.48,13.285714,13.422857,12.032698,140373100
2007-03-23,13.335714,13.438571,13.328571,13.36,11.976349,112721000
2007-03-26,13.427143,13.7,13.328571,13.692857,12.274734,216246800
2007-03-27,13.672857,13.832857,13.571428,13.637143,12.224792,233013200
2007-03-28,13.554286,13.628572,13.307143,13.32,11.940492,235584300
2007-03-29,13.455714,13.455714,13.175714,13.392858,12.005805,181430900
2007-03-30,13.468572,13.525714,13.25,13.272857,11.898231,150139500
2007-04-02,13.448571,13.464286,13.288571,13.378572,11.992999,125498100
2007-04-03,13.448571,13.604285,13.394286,13.5,12.101851,145983600
2007-04-04,13.562857,13.591429,13.447143,13.467143,12.072398,119196000
2007-04-05,13.445714,13.525714,13.36,13.525714,12.124902,88879000
2007-04-09,13.601429,13.614285,13.291429,13.378572,11.992999,103335400
2007-04-10,13.381429,13.465714,13.344286,13.464286,12.069839,88116700
2007-04-11,13.414286,13.421429,13.19,13.227143,11.857251,137254600
2007-04-12,13.148571,13.187143,12.96,13.17,11.806027,164168900
2007-04-13,12.985714,13.057143,12.865714,12.891429,11.556306,179985400
2007-04-16,12.938571,13.071428,12.892858,13.061429,11.708703,152258400
